keyword,implied_tool
stir,wooden spoon
boil,pot
slice,knife
dice,knife
chop,knife
mince,knife
saute,skillet
sear,skillet
deep fry,cast-iron skillet
braise,dutch oven
simmer,pot
poach,pot
steam,steamer
blanch,pot
measure,measuring cup
fry,cast-iron skillet
whip,whisk
roll,rolling pin
spread,knife
scramble,fork
grate,grater
peel,peeler
carve,carving knife
blend,blender
roast,sheet pan
flip,spatula
baste,spoon
strain,strainer
drain,strainer
mix,wooden spoon
julienne,knife
pound,meat tenderizer
beat,whisk
puree,blender
mash,potato masher
