nonveg,veg
rib roast,jackfruit
chicken broth,mushroom broth
chicken wing,cauliflower wings
beef,tofu
lamb,sweet potato
veal,tofu
pork,tempeh
sausages,soya chunks
chicken,tofu
turkey,tofu
duck,tofu
emu,tofu
goose,tofu
fish,jackfruit
prawns,tofu
crab,jackfruit
lobster,heart of palm
mussels,mushrooms
oysters,king oyster mushrooms
scallops,king oyster mushrooms
clams,king oyster mushrooms
sausage,soya chunk
mutton,tofu
shrimp,sweet potato
salmon,tofu
tuna,tofu
trout,tofu
halibut,tofu
mackerel,tofu
cod,tofu
sardines,tofu
herring,tofu
anchovies,tofu
barracuda,tofu
basa,tofu
bass,tofu
black cod,tofu
sablefish,tofu
blowfish,tofu
bluefish,tofu
bombay duck,tofu
bream,tofu
brill,tofu
butter fish,tofu
catfish,tofu
cod,tofu
dogfish,tofu
dorade,tofu
eel,tofu
flounder,tofu
grouper,tofu
haddock,tofu
hake,tofu
halibut,tofu
herring,tofu
ilish,tofu
john dory,tofu
lamprey,tofu
lingcod,tofu
mackerel,tofu
mahi mahi,tofu
monkfish,tofu
mullet,tofu
orange roughy,tofu
parrotfish,tofu
patagonian toothfish,tofu
chilean sea bass,tofu
perch,tofu
pike,tofu
pilchard,tofu
pollock,tofu
pomfret,tofu
pompano,tofu
sablefish,tofu
salmon,tofu
sanddab,tofu
sardine,tofu
sea bass,tofu
shad,tofu
alewife,tofu
shark,tofu
skate,tofu
smelt,tofu
snakehead,tofu
snapper ,tofu
rockfish,tofu
rock cod,tofu
pacific snapper,tofu
sole,tofu
sprat,tofu
sturgeon,tofu
surimi,tofu
swordfish,tofu
tilapia,tofu
tilefish,tofu
trout,tofu
tuna,tofu
turbot,tofu
wahoo,tofu
whitefish,tofu
whiting,tofu
witch ,tofu
righteye flounder,tofu
caviar,tofu
sturgeon roe,tofu
ikura,tofu
salmon roe,tofu
kazunoko,tofu
herring roe,tofu
lumpfish roe,tofu
masago,tofu
capelin roe,tofu
shad roe,tofu
tobiko,tofu
flying-fish roe,tofu
crabs,tofu
craw,tofu
cray fish,tofu
lobsters,tofu
shrimps,tofu
prawns,tofu
cockle,tofu
cuttlefish,tofu
clam,tofu
loco,tofu
mussel,tofu
octopus,tofu
oyster,tofu
periwinkle,tofu
scallop,tofu
squid,tofu
conch,tofu
snails,tofu
nautilus,tofu
sea cucumber,tofu
uni,tofu
sea urchin,tofu
jellyfish,tofu
sea fig,tofu
